gene_name	refseq_id	enst_id	note
FGF1	NM_000800.5	ENST00000337706.7	oncokb transcript, MANE select
HERPUD1	NM_014685.4	ENST00000439977.7	oncokb transcript, MANE select
GATA4	NM_002052	ENST00000335135.8	oncokb transcript
LTB	NM_002341.2	ENST00000429299.3	oncokb transcript, MANE select
EGR1	NM_001964.3	ENST00000239938.5	oncokb transcript, MANE select
DDX5	NM_004396.5	ENST00000225792.10	oncokb transcript, MANE select
LCK	NM_005356.5	ENST00000336890.10	oncokb transcript, MANE select
LRP1B	NM_018557.3	ENST00000389484.8	oncokb transcript, MANE select
PTPN2	NM_002828.4	ENST00000309660.10	oncokb transcript, MANE select
CHD4	NM_001273.5	ENST00000544040.7	oncokb transcript, MANE select
CD74	NM_001025159.3	ENST00000009530.13	oncokb transcript, MANE select
XPA	NM_000380.4	ENST00000375128.5	oncokb transcript, MANE select
H2BC11	NM_021058.4	ENST00000339812.3	oncokb transcript, MANE select
RPL5	NM_000969.5	ENST00000370321.8	oncokb transcript, MANE select
ETV4	NM_001079675.5	ENST00000319349.10	oncokb transcript, MANE select
ATMIN	NM_015251.3	ENST00000299575.5	oncokb transcript, MANE select
ATRIP	NM_130384.3	ENST00000320211.10	oncokb transcript, MANE select
SERPINB4	NM_002974.4	ENST00000341074.10	oncokb transcript, MANE select
SMC3	NM_005445.4	ENST00000361804.5	oncokb transcript, MANE select
OGT	NM_181672.3	ENST00000373719.8	oncokb transcript, MANE select
TPM3	NM_152263.4	ENST00000368530.7	oncokb transcript
BCL2L2	NM_004050.5	ENST00000250405.10	oncokb transcript, MANE select
MGAM	NM_004668.2	ENST00000549489.6	oncokb transcript
RBM15	NM_022768.5	ENST00000369784.9	oncokb transcript, MANE select
NHERF1	NM_004252.5	ENST00000262613.10	oncokb transcript, MANE select
DDB2	NM_000107.3	ENST00000256996.9	oncokb transcript, MANE select
MTHFD2	NM_006636.4	ENST00000394053.7	oncokb transcript, MANE select
DDX4	NM_024415.3	ENST00000505374.6	oncokb transcript, MANE select
BCL7A	NM_001024808.3	ENST00000261822.5	oncokb transcript, MANE select
CDKN1C	NM_001122630.2	ENST00000440480.8	oncokb transcript, MANE select
IL3	NM_000588.4	ENST00000296870.3	oncokb transcript, MANE select
FGF23	NM_020638.3	ENST00000237837.2	oncokb transcript, MANE select
GSTO1	NM_004832.3	ENST00000369713.10	oncokb transcript, MANE select
MTHFR	NM_005957.5	ENST00000376590.9	oncokb transcript, MANE select
EML4	NM_019063.5	ENST00000318522.10	oncokb transcript, MANE select
NCOR2	NM_006312.6	ENST00000405201.6	oncokb transcript, MANE select
VEGFB	NM_003377.5	ENST00000309422.7	oncokb transcript, MANE select
GNA13	NM_006572.6	ENST00000439174.7	oncokb transcript, MANE select
NRG1	NM_013964.5	ENST00000405005.8	oncokb transcript, MANE select
TCL1B	NM_004918.4	ENST00000340722.8	oncokb transcript, MANE select
ARID5A	NM_212481.3	ENST00000357485.8	oncokb transcript, MANE select
PAX7	NM_001135254.2	ENST00000420770.7	oncokb transcript, MANE select
H2BC4	NM_003518.3	ENST00000314332.5	oncokb transcript
RPS6KB1	NM_003161.4	ENST00000225577.9	oncokb transcript, MANE select
TRAF5	NM_001033910.3	ENST00000261464.10	oncokb transcript, MANE select
PML	NM_033238.3	ENST00000268058.8	oncokb transcript, MANE select
TET3	NM_001287491.2	ENST00000409262.8	oncokb transcript, MANE select
SFRP1	NM_003012.5	ENST00000220772.8	oncokb transcript, MANE select
PIGA	NM_002641.4	ENST00000333590.6	oncokb transcript, MANE select
CD58	NM_001779.3	ENST00000369489.10	oncokb transcript, MANE select
CREB1	NM_134442.3	ENST00000432329.6	oncokb transcript
IRF1	NM_002198.3	ENST00000245414.9	oncokb transcript, MANE select
PSMB2	NM_002794.5	ENST00000373237.4	oncokb transcript, MANE select
DAZAP1	NM_018959.4	ENST00000233078.9	oncokb transcript, MANE select
TLE3	NM_005078.3	ENST00000558939.5	oncokb transcript
LMNA	NM_170707.4	ENST00000368300.9	oncokb transcript, MANE select
PAK3	NM_001128173	ENST00000262836.6	oncokb transcript
EP400	NM_015409.5	ENST00000389561.7	oncokb transcript, MANE select
IRF8	NM_002163.4	ENST00000268638.10	oncokb transcript, MANE select
EIF2B1	NM_001414.4	ENST00000424014.7	oncokb transcript, MANE select
MAP3K7	NM_145331.3	ENST00000369329.8	oncokb transcript, MANE select
MPEG1	NM_001039396.2	ENST00000361050.4	oncokb transcript, MANE select
CAMTA1	NM_015215.4	ENST00000303635.12	oncokb transcript, MANE select
FGF2	NM_001361665.2	ENST00000644866.2	oncokb transcript, MANE select
MBD6	NM_052897.4	ENST00000355673.8	oncokb transcript, MANE select
DPYD	NM_000110.4	ENST00000370192.8	oncokb transcript, MANE select
FBXW2	NM_012164.4	ENST00000608872.6	oncokb transcript, MANE select
TRAF3	NM_145725.3	ENST00000392745.8	oncokb transcript, MANE select
FSTL1	NM_007085.5	ENST00000295633.8	oncokb transcript, MANE select
H3P6		ENST00000369387.4	oncokb transcript, gene not in MANE select
BCL9L	NM_001378213.1	ENST00000683865.1	oncokb transcript, MANE select
ZNF292	NM_015021.3	ENST00000369577.8	oncokb transcript, MANE select
PRKCB	NM_002738.7	ENST00000643927.1	oncokb transcript, MANE select
RNASEH2B	NM_024570.4	ENST00000336617.8	oncokb transcript, MANE select
H2AC6	NM_003512.3	ENST00000314088.6	oncokb transcript
H4C6	NM_003540.4	ENST00000244537.6	oncokb transcript, MANE select
HOXA11	NM_005523.6	ENST00000006015.4	oncokb transcript, MANE select
BABAM2	NM_199191.3	ENST00000379624.6	oncokb transcript, MANE select
ANKRD26	NM_014915.3	ENST00000376087.5	oncokb transcript, MANE select
LASP1	NM_006148.4	ENST00000318008.11	oncokb transcript, MANE select
RSPO2	NM_178565.5	ENST00000276659.10	oncokb transcript, MANE select
FES	NM_002005.4	ENST00000328850.8	oncokb transcript, MANE select
CD19	NM_001770.6	ENST00000538922.8	oncokb transcript, MANE select
AIM2	NM_004833.3	ENST00000368130.9	oncokb transcript, MANE select
CASR	NM_000388.4	ENST00000639785.2	oncokb transcript, MANE select
CHD2	NM_001271.4	ENST00000394196.9	oncokb transcript, MANE select
ELN	NM_000501.4	ENST00000252034.12	oncokb transcript, MANE select
SP140	NM_007237.5	ENST00000392045.8	oncokb transcript, MANE select
ALDH2	NM_000690.4	ENST00000261733.7	oncokb transcript, MANE select
STAT1	NM_007315.4	ENST00000361099.8	oncokb transcript, MANE select
A1CF		ENST00000373993.6	oncokb transcript, not MANE select but longer
USP6	NM_004505	ENST00000250066.6	oncokb transcript
MYH11	NM_002474.3	ENST00000300036.6	oncokb transcript, MANE select
H2BC8	NM_003518.4	ENST00000541790.4	oncokb transcript, MANE select
HNF1B	NM_000458.4	ENST00000617811.5	oncokb transcript, MANE select
FANCD2	NM_001018115.3	ENST00000675286.1	oncokb transcript, MANE select
SAMD9	NM_017654.4	ENST00000379958.3	oncokb transcript, MANE select
MKI67	NM_002417.5	ENST00000368654.8	oncokb transcript, MANE select
MAGI2	NM_012301.4	ENST00000354212.9	oncokb transcript, MANE select
GSTP1	NM_000852.4	ENST00000398606.10	oncokb transcript, MANE select
FGF10	NM_004465.2	ENST00000264664.5	oncokb transcript, MANE select
FGF7	NM_002009.4	ENST00000267843.9	oncokb transcript, MANE select
ALOX15B	NM_001141.3	ENST00000380183.9	oncokb transcript, MANE select
NUTM1	XM_011521429.1	ENST00000333756.5	oncokb transcript
BRD9	NM_023924.5	ENST00000467963.6	oncokb transcript, MANE select
BRD3	NM_007371.4	ENST00000303407.12	oncokb transcript, MANE select
DLL3	NM_016941.4	ENST00000205143.4	oncokb transcript, not MANE select but longer
DHX15	NM_001358.3	ENST00000336812.5	oncokb transcript, MANE select
GNA12	NM_007353.3	ENST00000275364.8	oncokb transcript, MANE select
CREB3L2	NM_194071.4	ENST00000330387.11	oncokb transcript, MANE select
PRKDC	NM_006904.7	ENST00000314191.7	oncokb transcript, MANE select
POLG	NM_002693.3	ENST00000268124.11	oncokb transcript, MANE select
WEE1	NM_003390.4	ENST00000450114.7	oncokb transcript, MANE select
HDAC4	NM_006037.3	ENST00000345617.7	oncokb transcript
H1-4	NM_005321.3	ENST00000304218.6	oncokb transcript, MANE select
PDK1	NM_002610.5	ENST00000282077.8	oncokb transcript, MANE select
SMARCA1	NM_003069	ENST00000371122.8	oncokb transcript
HIRA	NM_003325.4	ENST00000263208.5	oncokb transcript, MANE select
SMC1A	NM_006306.4	ENST00000322213.9	oncokb transcript, MANE select
TIGAR	NM_020375.3	ENST00000179259.6	oncokb transcript, MANE select
FHIT	NM_002012.4	ENST00000492590.6	oncokb transcript, MANE select
LZTS1	NM_021020.5	ENST00000381569.5	oncokb transcript, MANE select
AGK	NM_018238.4	ENST00000649286.2	oncokb transcript, MANE select
NAB2	NM_005967.4	ENST00000300131.8	oncokb transcript, MANE select
L1TD1	NM_019079.5	ENST00000498273.2	oncokb transcript, MANE select
VAV2	NM_001134398.2	ENST00000371850.8	oncokb transcript, MANE select
FANCI	NM_001113378.2	ENST00000310775.12	oncokb transcript, MANE select
SRP72	NM_006947.4	ENST00000642900.1	oncokb transcript, MANE select
FANCM	NM_020937.4	ENST00000267430.10	oncokb transcript, MANE select
BRSK1	NM_032430.2	ENST00000309383.6	oncokb transcript, MANE select
RSPO3	NM_032784.5	ENST00000356698.9	oncokb transcript, MANE select
ECSIT	NM_016581.5	ENST00000270517.12	oncokb transcript, MANE select
CACNA1D	NM_001128840.3	ENST00000350061.11	oncokb transcript, MANE select
GATA6	NM_005257.6	ENST00000269216.10	oncokb transcript, MANE select
RELN	NM_005045.4	ENST00000428762.6	oncokb transcript, MANE select
GTF2I	NM_032999.4	ENST00000573035.6	oncokb transcript, MANE select
FLI1	NM_002017.5	ENST00000527786.7	oncokb transcript, MANE select
CD28	NM_006139.4	ENST00000324106.9	oncokb transcript, MANE select
SETBP1	NM_015559.3	ENST00000649279.2	oncokb transcript, MANE select
SLIT3	NM_003062.4	ENST00000519560.6	oncokb transcript, MANE select
DDIT3	NM_004083.6	ENST00000346473.8	oncokb transcript, MANE select
ONECUT2	NM_004852.3	ENST00000491143.3	oncokb transcript, MANE select
ATP1A1	NM_000701.8	ENST00000295598.10	oncokb transcript, MANE select
TRIM27	NM_006510.5	ENST00000377199.4	oncokb transcript, MANE select
HTATIP2	NM_001098521	ENST00000421577.6	oncokb transcript
PRSS1	NM_002769.5	ENST00000311737.12	oncokb transcript, MANE select
SAMD9L	NM_152703.5	ENST00000318238.9	oncokb transcript, MANE select
SQSTM1	NM_003900.5	ENST00000389805.9	oncokb transcript, MANE select
RNASEH2A	NM_006397.3	ENST00000221486.6	oncokb transcript, MANE select
RPS15	NM_001018.5	ENST00000592588.7	oncokb transcript, MANE select
FANCL	NM_018062.4	ENST00000233741.9	oncokb transcript, MANE select
ACVR2A	NM_001616.5	ENST00000241416.12	oncokb transcript, MANE select
CAV1	NM_001753.5	ENST00000341049.7	oncokb transcript, MANE select
TLE2	NM_003260.5	ENST00000262953.11	oncokb transcript, MANE select
FGF9	NM_002010.3	ENST00000382353.6	oncokb transcript, MANE select
ELL	NM_006532.4	ENST00000262809.9	oncokb transcript, MANE select
PDS5B	NM_015032.4	ENST00000315596.15	oncokb transcript, MANE select
FANCF	NM_022725.4	ENST00000327470.6	oncokb transcript, MANE select
IRF2	NM_002199.4	ENST00000393593.8	oncokb transcript, MANE select
ATIC	NM_004044.7	ENST00000236959.14	oncokb transcript, MANE select
KAT7	NM_007067.5	ENST00000259021.9	oncokb transcript, MANE select
DDX3X	NM_001356.4	ENST00000478993.5	oncokb transcript
HSD17B2	NM_002153.3	ENST00000199936.9	oncokb transcript, MANE select
ERCC6	NM_000124.4	ENST00000355832.10	oncokb transcript, MANE select
PIK3C2B	NM_002646	ENST00000367187.7	oncokb transcript
HDAC2	NM_001527.4	ENST00000519065.6	oncokb transcript, MANE select
RELA	NM_021975.4	ENST00000406246.8	oncokb transcript, MANE select
SLIT2	NM_004787.4	ENST00000504154.6	oncokb transcript, MANE select
WRN	NM_000553.6	ENST00000298139.7	oncokb transcript, MANE select
AJUBA	NM_032876.6	ENST00000262713.7	oncokb transcript, MANE select
CAD	NM_004341.5	ENST00000264705.9	oncokb transcript, MANE select
APEX1	NM_001641.4	ENST00000216714.8	oncokb transcript, MANE select
MAFB	NM_005461.5	ENST00000373313.3	oncokb transcript, MANE select
PTPN1	NM_002827.4	ENST00000371621.5	oncokb transcript, MANE select
EIF3E	NM_001568.3	ENST00000220849.10	oncokb transcript, MANE select
AURKC	NM_001015878.2	ENST00000302804.12	oncokb transcript, MANE select
FGF14	NM_004115.4	ENST00000376143.5	oncokb transcript, MANE select
CANT1	NM_001159772	ENST00000302345.6	oncokb transcript
EPHB4	NM_004444.5	ENST00000358173.8	oncokb transcript, MANE select
TACSTD2	NM_002353.3	ENST00000371225.4	oncokb transcript, MANE select
NR4A3	NM_006981.4	ENST00000395097.7	oncokb transcript, MANE select
ESCO2	NM_001017420.3	ENST00000305188.13	oncokb transcript, MANE select
FGF5	NM_004464.4	ENST00000312465.12	oncokb transcript, MANE select
IL6ST	NM_002184.4	ENST00000381298.7	oncokb transcript, MANE select
PGBD5	NM_001258311.2	ENST00000391860.7	oncokb transcript, MANE select
SETD5	NM_001080517.3	ENST00000402198.7	oncokb transcript, MANE select
ARID3B	NM_006465.4	ENST00000346246.10	oncokb transcript, MANE select
XBP1	NM_005080.3	ENST00000216037.10	oncokb transcript
MAP3K21	NM_032435.3	ENST00000366624.8	oncokb transcript, MANE select
AFDN	NM_001386888.1	ENST00000683244.1	oncokb transcript, MANE select
ATP6AP1	NM_001183.6	ENST00000369762.7	oncokb transcript, MANE select
TPMT	NM_000367.5	ENST00000309983.5	oncokb transcript, MANE select
H1-3	NM_005320.3	ENST00000244534.7	oncokb transcript, MANE select
CCNB1IP1	NM_021178.5	ENST00000358932.9	oncokb transcript, MANE select
TYK2	NM_003331.5	ENST00000525621.6	oncokb transcript, MANE select
CTDNEP1	NM_001143775.2	ENST00000574322.6	oncokb transcript, MANE select
TRIB3	NM_021158.5	ENST00000217233.9	oncokb transcript, MANE select
AGGF1	NM_018046.5	ENST00000312916.12	oncokb transcript, MANE select
TLE4	NM_007005.6	ENST00000376552.8	oncokb transcript, MANE select
LMO2	NM_001142315.1	ENST00000395833.7	oncokb transcript
UBE2A	NM_003336.4	ENST00000371558.7	oncokb transcript, MANE select
CREM	NM_183011.2	ENST00000685392.1	oncokb transcript, MANE select
ELL2	NM_012081.6	ENST00000237853.9	oncokb transcript, MANE select
POLH	NM_006502.3	ENST00000372236.9	oncokb transcript, MANE select
ITPKB	NM_002221	ENST00000272117.8	oncokb transcript
AIP	NM_003977.4	ENST00000279146.8	oncokb transcript, MANE select
EZHIP	NM_203407.3	ENST00000342995.4	oncokb transcript, MANE select
SETD3	NM_032233.3	ENST00000331768.10	oncokb transcript, MANE select
HDAC1	NM_004964.3	ENST00000373548.8	oncokb transcript, MANE select
CCNQ	NM_152274.5	ENST00000576892.8	oncokb transcript, MANE select
AAMP	NM_001087.5	ENST00000248450.9	oncokb transcript, MANE select
ASXL3	NM_030632.3	ENST00000269197.12	oncokb transcript, MANE select
ESCO1	NM_052911.3	ENST00000269214.10	oncokb transcript, MANE select
BACH1	NM_001186.4	ENST00000286800.8	oncokb transcript, MANE select
HIP1	NM_005338.7	ENST00000336926.11	oncokb transcript, MANE select
APCDD1	NM_153000.5	ENST00000355285.10	oncokb transcript, MANE select
FCGR2B	NM_001394477.1	ENST00000358671.10	oncokb transcript, MANE select
PAFAH1B2	NM_002572.4	ENST00000527958.6	oncokb transcript, MANE select
H4C9	NM_003495.3	ENST00000615353.2	oncokb transcript, MANE select
