enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENST00000374399	ENSP00000363520	406	Q6P499	NIPAL3
ENST00000374401	ENSP00000363522	328	Q8NGR1	OR13A1
ENST00000374403	ENSP00000363524	1232	O95239	KIF4A
ENST00000374408	ENSP00000363529	747	Q9BQN1	FAM83C
ENST00000374409	ENSP00000363530	334	Q5TH74	STPG1
ENST00000374412	ENSP00000363533	518	Q5I0G3	MDH1B
ENST00000374423	ENSP00000363545	2354	Q9HCK1	ZDBF2
ENST00000374429	ENSP00000363551	93	P48061	CXCL12
ENST00000374430	ENSP00000363552	364	Q92633	LPAR1
ENST00000374431	ENSP00000363553	364	Q92633	LPAR1
ENST00000374433	ENSP00000363556	273	P17041	ZNF32
ENST00000374434	ENSP00000363557	1437	Q5VTT5	MYOM3
ENST00000374435	ENSP00000363558	441	Q8NCK3	ZNF485
ENST00000374436	ENSP00000363559	245	P56537	EIF6
ENST00000374446	ENSP00000363569	458	Q16600	ZNF239
ENST00000374448	ENSP00000363571	869	O15146	MUSK
ENST00000374450	ENSP00000363574	245	P56537	EIF6
ENST00000374454	ENSP00000363578	140	Q5EBL8	PDZD11
ENST00000374466	ENSP00000363590	542	Q8N6G5	CSGALNACT2
ENST00000374467	ENSP00000363591	211	Q16611	BAK1
ENST00000374468	ENSP00000363592	139	Q9NPJ4	PNRC2
ENST00000374469	ENSP00000363593	3571	Q4LDE5	SVEP1
ENST00000374472	ENSP00000363596	360	P34972	CNR2
ENST00000374473	ENSP00000363597	222	Q5JT25	RAB41
ENST00000374479	ENSP00000363603	466	P04066	FUCA1
ENST00000374490	ENSP00000363614	325	P35914	HMGCL
ENST00000374492	ENSP00000363616	578	Q9BV94	EDEM2
ENST00000374497	ENSP00000363621	348	Q14376	GALE
ENST00000374511	ENSP00000363635	127	Q6A555	TXNDC8
ENST00000374514	ENSP00000363638	231	O95372	LYPLA2
ENST00000374516	ENSP00000363640	567	O43189	PHF1
ENST00000374517	ENSP00000363641	105	P10599	TXN
ENST00000374518	ENSP00000363642	1282	Q14692	BMS1
ENST00000374519	ENSP00000363643	365	P51582	P2RY4
ENST00000374521	ENSP00000363645	328	Q58HT5	AWAT1
ENST00000374523	ENSP00000363647	673	Q9BW19	KIFC1
ENST00000374531	ENSP00000363656	379	Q8IXS6	PALM2
ENST00000374541	ENSP00000363667	913	P26045	PTPN3
ENST00000374542	ENSP00000363668	740	Q9UER7	DAXX
ENST00000374552	ENSP00000363680	391	Q92838	EDA
ENST00000374561	ENSP00000363689	119	Q02535	ID3
ENST00000374566	ENSP00000363694	900	Q9H329	EPB41L4B
ENST00000374572	ENSP00000363700	448	O15533	TAPBP
ENST00000374580	ENSP00000363708	1038	Q13873	BMPR2
ENST00000374583	ENSP00000363711	643	Q8NG27	PJA1
ENST00000374586	ENSP00000363714	879	Q9H330	TMEM245
ENST00000374597	ENSP00000363725	1023	Q92502	STARD8
ENST00000374606	ENSP00000363734	129	O15212	PFDN6
ENST00000374607	ENSP00000363735	129	O15212	PFDN6
ENST00000374608	ENSP00000363736	470	Q9C0F3	ZNF436
ENST00000374610	ENSP00000363738	129	O15212	PFDN6
ENST00000374612	ENSP00000363741	633	O43390	HNRNPR
ENST00000374617	ENSP00000363746	610	O15213	WDR46
ENST00000374619	ENSP00000363748	377	P28221	HTR1D
ENST00000374637	ENSP00000363768	245	P02747	C1QC
ENST00000374639	ENSP00000363770	245	P02747	C1QC
ENST00000374640	ENSP00000363771	245	P02747	C1QC
ENST00000374642	ENSP00000363773	245	P02745	C1QA
ENST00000374647	ENSP00000363779	1332	O95163	ELP1
ENST00000374656	ENSP00000363787	406	Q06587	RING1
ENST00000374662	ENSP00000363794	261	Q92506	HSD17B8
ENST00000374667	ENSP00000363799	415	Q9Y614	ACTL7B
ENST00000374675	ENSP00000363807	469	Q92504	SLC39A7
ENST00000374677	ENSP00000363809	469	Q92504	SLC39A7
ENST00000374680	ENSP00000363812	533	P28702	RXRB
ENST00000374690	ENSP00000363822	920	P10275	AR
ENST00000374692	ENSP00000363824	291	Q9NVV0	TMEM38B
ENST00000374694	ENSP00000363826	694	Q9H461	FZD8
ENST00000374695	ENSP00000363827	4391	P98160	HSPG2
ENST00000374700	ENSP00000363832	1338	Q06278	AOX1
ENST00000374704	ENSP00000363836	341	Q8ND76	CCNY
ENST00000374719	ENSP00000363851	297	Q9HAV5	EDA2R
ENST00000374720	ENSP00000363852	657	Q8WWI5	SLC44A1
ENST00000374736	ENSP00000363868	2261	O95477	ABCA1
ENST00000374737	ENSP00000363869	399	Q9Y279	VSIG4
ENST00000374741	ENSP00000363873	147	Q5BKU9	OXLD1
ENST00000374748	ENSP00000363880	745	Q13617	CUL2
ENST00000374749	ENSP00000363881	745	Q13617	CUL2
ENST00000374751	ENSP00000363883	745	Q13617	CUL2
ENST00000374759	ENSP00000363891	1119	Q9HBR0	SLC38A10
ENST00000374762	ENSP00000363894	247	Q9BS92	NIPSNAP3B
ENST00000374765	ENSP00000363897	663	P47736	RAP1GAP
ENST00000374767	ENSP00000363899	247	Q9UFN0	NIPSNAP3A
ENST00000374779	ENSP00000363911	318	Q8NGS8	OR13C5
ENST00000374781	ENSP00000363913	347	Q8NGS6	OR13C3
ENST00000374786	ENSP00000363918	344	Q9P121	NTM
ENST00000374787	ENSP00000363919	1197	O95347	SMC2
ENST00000374789	ENSP00000363921	1356	Q8TEW0	PARD3
ENST00000374793	ENSP00000363925	1197	O95347	SMC2
ENST00000374796	ENSP00000363929	2063	Q14686	NCOA6
ENST00000374798	ENSP00000420256	348	Q14093	CYLC2
ENST00000374806	ENSP00000363939	170	Q96LZ3	PPP3R2
ENST00000374808	ENSP00000363941	260	P20036	HLA-DPA1
ENST00000374809	ENSP00000363942	220	Q8IXH6	TP53INP2
ENST00000374810	ENSP00000363943	220	Q8IXH6	TP53INP2
ENST00000374811	ENSP00000363944	734	Q9Y4W2	LAS1L
ENST00000374825	ENSP00000363958	801	P25440	BRD2
ENST00000374831	ENSP00000363964	801	P25440	BRD2
ENST00000374832	ENSP00000363965	524	P05186	ALPL
ENST00000374839	ENSP00000363972	224	Q9NQZ6	ZC4H2
ENST00000374840	ENSP00000363973	524	P05186	ALPL
ENST00000374847	ENSP00000363980	403	Q9BRR3	TMEM246
ENST00000374848	ENSP00000363981	403	Q9BRR3	TMEM246
ENST00000374851	ENSP00000363984	403	Q9BRR3	TMEM246
ENST00000374852	ENSP00000363985	704	Q96EF0	MTMR8
ENST00000374859	ENSP00000363993	219	P28065	PSMB9
ENST00000374865	ENSP00000363999	158	Q8N5N7	MRPL50
ENST00000374866	ENSP00000364000	1499	P05997	COL5A2
ENST00000374867	ENSP00000364001	923	O14786	NRP1
ENST00000374869	ENSP00000364003	1135	Q5JTC6	AMER1
ENST00000374874	ENSP00000364008	325	Q8TBJ4	PLPPR1
ENST00000374879	ENSP00000364013	380	Q8IYR6	TMEFF1
ENST00000374882	ENSP00000364016	276	P28062	PSMB8
ENST00000374884	ENSP00000364018	249	Q56A73	SPIN4
ENST00000374888	ENSP00000364023	803	P98169	ZXDB
ENST00000374893	ENSP00000364028	770	P42892	ECE1
ENST00000374897	ENSP00000364032	686	Q03519	TAP2
ENST00000374900	ENSP00000364035	532	Q6GMR7	FAAH2
ENST00000374902	ENSP00000364037	929	Q9NXF1	TEX10
ENST00000374906	ENSP00000364041	258	Q99865	SPIN2A
ENST00000374908	ENSP00000364043	258	Q99865	SPIN2A
ENST00000374919	ENSP00000364054	258	Q5JUX0	SPIN3
ENST00000374922	ENSP00000489583	68	A0A0U1RRE5	NBDY
ENST00000374940	ENSP00000364076	255	P01906	HLA-DQA2
ENST00000374951	ENSP00000364089	113	Q5JUK9	PAGE3
ENST00000374954	ENSP00000364092	132	P42127	ASIP
ENST00000374968	ENSP00000364107	111	Q7Z2X7	PAGE2
ENST00000374971	ENSP00000364110	111	Q5JRK9	PAGE2B
ENST00000374975	ENSP00000364114	266	Q30154	HLA-DRB5
ENST00000374979	ENSP00000364118	559	Q6P1R3	MSANTD2
ENST00000374980	ENSP00000364119	333	P20042	EIF2S2
ENST00000374987	ENSP00000364126	518	Q9UBZ4	APEX2
ENST00000374993	ENSP00000364132	455	Q9UIR0	BTNL2
ENST00000374994	ENSP00000364133	503	P36897	TGFBR1
ENST00000375001	ENSP00000364140	1388	P39059	COL15A1
ENST00000375006	ENSP00000364145	471	P16118	PFKFB1
ENST00000375011	ENSP00000364150	581	Q8IXK2	GALNT12
ENST00000375013	ENSP00000364152	313	Q96RD0	OR8B2
ENST00000375023	ENSP00000364163	2003	Q99466	NOTCH4
ENST00000375024	ENSP00000364164	311	Q8NGN4	OR10G9
ENST00000375040	ENSP00000364180	160	Q9Y4H4	GPSM3
ENST00000375043	ENSP00000364183	160	Q9Y4H4	GPSM3
ENST00000375050	ENSP00000364190	430	P40425	PBX2
ENST00000375053	ENSP00000364193	606	Q9UNF1	MAGED2
ENST00000375058	ENSP00000364198	606	Q9UNF1	MAGED2
ENST00000375068	ENSP00000364209	606	Q9UNF1	MAGED2
ENST00000375071	ENSP00000364212	146	P32320	CDA
ENST00000375076	ENSP00000364217	404	Q15109	AGER
ENST00000375077	ENSP00000364218	525	Q92828	CORO2A
ENST00000375078	ENSP00000364219	78	Q7Z7J9	CAMK2N1
ENST00000375079	ENSP00000364220	1220	Q5TIE3	VWA5B1
ENST00000375094	ENSP00000364235	180	Q99942	RNF5
ENST00000375095	ENSP00000364236	245	Q6ZRR5	TLCD5
ENST00000375098	ENSP00000364239	442	Q14142	TRIM14
ENST00000375099	ENSP00000364240	280	Q96LJ8	UBXN10
ENST00000375104	ENSP00000364245	283	Q99943	AGPAT1
ENST00000375105	ENSP00000364246	145	Q9UNK4	PLA2G2D
ENST00000375107	ENSP00000364248	283	Q99943	AGPAT1
ENST00000375108	ENSP00000364249	138	P39877	PLA2G5
ENST00000375111	ENSP00000364252	144	P14555	PLA2G2A
ENST00000375116	ENSP00000364257	142	Q9NZK7	PLA2G2E
ENST00000375119	ENSP00000364260	441	Q9BU70	TRMO
ENST00000375120	ENSP00000364261	398	Q5T2D3	OTUD3
ENST00000375121	ENSP00000364263	227	Q9NXI6	RNF186
ENST00000375123	ENSP00000364265	373	O00358	FOXE1
ENST00000375128	ENSP00000364270	273	P23025	XPA
ENST00000375129	ENSP00000364271	352	Q0ZLH3	PJVK
ENST00000375135	ENSP00000364277	961	P98174	FGD1
ENST00000375136	ENSP00000364278	181	P41271	NBL1
ENST00000375137	ENSP00000364279	302	Q9UMR5	PPT2
ENST00000375142	ENSP00000364284	277	P47756	CAPZB
ENST00000375143	ENSP00000364285	302	Q9UMR5	PPT2
ENST00000375147	ENSP00000364289	790	Q09161	NCBP1
ENST00000375151	ENSP00000364293	191	Q969E8	TSR2
ENST00000375153	ENSP00000364295	291	Q6ZP29	SLC66A1
ENST00000375155	ENSP00000364297	291	Q6ZP29	SLC66A1
ENST00000375156	ENSP00000364298	349	Q9UIM3	FKBPL
ENST00000375159	ENSP00000364301	1800	Q9BYP7	WNK3
ENST00000375167	ENSP00000364310	143	P16104	H2AFX
ENST00000375190	ENSP00000364336	343	P21731	TBXA2R
ENST00000375200	ENSP00000364346	854	Q9BYN7	ZNF341
ENST00000375203	ENSP00000364349	703	Q99941	ATF6B
ENST00000375213	ENSP00000364361	800	Q9NYL2	MAP3K20
ENST00000375215	ENSP00000364363	77	Q71RC9	SMIM5
ENST00000375222	ENSP00000364370	153	Q9BQM9	C20orf144
ENST00000375231	ENSP00000364379	683	Q9Y2H8	ZNF510
ENST00000375234	ENSP00000364382	226	Q7RTV5	PRXL2C
ENST00000375241	ENSP00000364389	498	O60729	CDC14B
ENST00000375244	ENSP00000364393	4244	P22105	TNXB
ENST00000375249	ENSP00000364398	413	Q5JVS0	HABP4
ENST00000375254	ENSP00000364403	5183	Q5T4S7	UBR4
ENST00000375255	ENSP00000364404	520	Q5H9S7	DCAF17
ENST00000375256	ENSP00000364405	350	Q7RTV3	ZNF367
ENST00000375263	ENSP00000364412	310	P37058	HSD17B3
ENST00000375279	ENSP00000364428	604	O43439	CBFA2T2
ENST00000375281	ENSP00000364430	398	Q6BEB4	SP5
ENST00000375299	ENSP00000364448	476	Q9H1J1	UPF3A
ENST00000375300	ENSP00000364449	1321	Q9Y2K2	SIK3
ENST00000375305	ENSP00000364454	558	Q00597	FANCC
ENST00000375315	ENSP00000364464	819	Q8N6M6	AOPEP
ENST00000375320	ENSP00000364469	267	P02647	APOA1
ENST00000375321	ENSP00000364470	467	P41279	MAP3K8
ENST00000375323	ENSP00000364472	267	P02647	APOA1
ENST00000375326	ENSP00000364475	338	P09467	FBP1
ENST00000375327	ENSP00000364476	379	Q8N443	RIBC1
ENST00000375333	ENSP00000364482	368	P49842	STK19
ENST00000375337	ENSP00000364486	339	O00757	FBP2
ENST00000375341	ENSP00000364490	563	P30038	ALDH4A1
ENST00000375344	ENSP00000364493	506	Q5SR56	MFSD14B
ENST00000375349	ENSP00000364498	396	O77932	DXO
ENST00000375352	ENSP00000364501	194	Q6UXZ3	CD300LD
ENST00000375353	ENSP00000364502	326	Q8WV15	TMEM255B
ENST00000375356	ENSP00000364505	396	O77932	DXO
ENST00000375360	ENSP00000364509	754	A2A3K4	PTPDC1
ENST00000375363	ENSP00000364512	355	Q9NQR9	G6PC2
ENST00000375366	ENSP00000364515	478	A6NE02	BTBD17
ENST00000375370	ENSP00000364519	410	Q14186	TFDP1
ENST00000375371	ENSP00000364520	839	Q8TE23	TAS1R2
ENST00000375377	ENSP00000364526	1359	Q9P266	JCAD
ENST00000375394	ENSP00000364543	1246	Q15477	SKIV2L
ENST00000375401	ENSP00000364550	1560	P41229	KDM5C
ENST00000375406	ENSP00000364555	366	Q9H568	ACTL8
ENST00000375412	ENSP00000364561	256	Q5T036	FAM120AOS
ENST00000375413	ENSP00000364562	256	Q9NP55	BPIFA1
ENST00000375418	ENSP00000364567	354	Q8NDY3	ADPRHL1
ENST00000375422	ENSP00000364571	256	Q9NP55	BPIFA1
ENST00000375429	ENSP00000364578	380	P18615	NELFE
ENST00000375431	ENSP00000364580	336	Q5TC63	GRTP1
ENST00000375433	ENSP00000364582	522	Q9P258	RCC2
ENST00000375436	ENSP00000364585	522	Q9P258	RCC2
ENST00000375437	ENSP00000364586	2005	Q99250	SCN2A
ENST00000375440	ENSP00000364589	759	Q13619	CUL4A
ENST00000375442	ENSP00000364591	693	Q9H2G4	TSPYL2
ENST00000375446	ENSP00000364595	152	Q92982	NINJ1
ENST00000375448	ENSP00000364597	663	Q9UM07	PADI4
ENST00000375454	ENSP00000364603	254	Q9BQP9	BPIFA3
ENST00000375458	ENSP00000364607	1128	Q53SF7	COBLL1
ENST00000375460	ENSP00000364609	664	Q9ULW8	PADI3
ENST00000375471	ENSP00000364620	663	Q9ULC6	PADI1
ENST00000375472	ENSP00000364621	255	Q96L08	SUSD3
ENST00000375477	ENSP00000364626	399	Q5JVF3	PCID2
ENST00000375478	ENSP00000364627	544	Q6UWF7	NXPE4
ENST00000375479	ENSP00000364628	399	Q5JVF3	PCID2
ENST00000375482	ENSP00000364631	725	Q5JSP0	FGD3
ENST00000375483	ENSP00000364632	614	P59827	BPIFB4
ENST00000375486	ENSP00000364635	665	Q9Y2J8	PADI2
ENST00000375491	ENSP00000364640	111	Q8WTP9	XAGE3
ENST00000375494	ENSP00000364643	476	P59826	BPIFB3
ENST00000375495	ENSP00000364645	852	Q5JVG2	ZNF484
ENST00000375497	ENSP00000364647	180	P01275	GCG
ENST00000375499	ENSP00000364649	280	P21912	SDHB
ENST00000375501	ENSP00000364651	108	Q8WWM1	XAGE5
ENST00000375510	ENSP00000364660	752	P06681	C2
ENST00000375511	ENSP00000364661	72	Q5MJ07	SPANXN5
ENST00000375512	ENSP00000364662	824	Q8TD16	BICD2
ENST00000375525	ENSP00000364675	459	Q9Y330	ZBTB12
ENST00000375527	ENSP00000364677	459	Q9Y330	ZBTB12
ENST00000375533	ENSP00000364683	260	Q13145	BAMBI
ENST00000375535	ENSP00000364685	183	P55001	MFAP2
ENST00000375537	ENSP00000364687	1210	Q96KQ7	EHMT2
ENST00000375544	ENSP00000364694	380	Q9BXN1	ASPN
ENST00000375547	ENSP00000364697	400	P22891	PROZ
ENST00000375549	ENSP00000364699	159	O14521	SDHD
ENST00000375550	ENSP00000364700	421	Q99983	OMD
ENST00000375559	ENSP00000364709	488	P00742	F10
ENST00000375561	ENSP00000364711	298	P20774	OGN
ENST00000375571	ENSP00000364721	268	Q15691	MAPRE1
ENST00000375581	ENSP00000364731	466	P08709	F7
ENST00000375587	ENSP00000364737	288	Q6IPU0	CENPP
ENST00000375592	ENSP00000364742	717	Q6P3S6	FBXO42
ENST00000375599	ENSP00000364749	258	Q9BU20	CPLANE2
ENST00000375602	ENSP00000364752	81	Q9HD64	XAGE1A
ENST00000375608	ENSP00000364758	1137	O15068	MCF2L
ENST00000375615	ENSP00000364765	382	Q6UX15	LAYN
ENST00000375616	ENSP00000364766	81	Q9HD64	XAGE1A
ENST00000375618	ENSP00000364768	169	Q6PI97	C11orf88
ENST00000375631	ENSP00000364782	415	Q99519	NEU1
ENST00000375643	ENSP00000364794	1262	P41252	IARS
ENST00000375645	ENSP00000364796	1134	P98196	ATP11A
ENST00000375647	ENSP00000364798	1239	Q9NUA8	ZBTB40
ENST00000375650	ENSP00000364801	641	P0DMV9	HSPA1B
ENST00000375651	ENSP00000364802	641	P0DMV8	HSPA1A
ENST00000375654	ENSP00000364805	641	P34931	HSPA1L
ENST00000375661	ENSP00000364813	95	Q9Y333	LSM2
ENST00000375662	ENSP00000364814	280	Q96AQ9	FAM131C
ENST00000375663	ENSP00000364815	1264	P26640	VARS
ENST00000375679	ENSP00000364831	687	P51801	CLCNKB
ENST00000375687	ENSP00000364839	1541	Q8IXJ9	ASXL1
ENST00000375688	ENSP00000364840	891	Q9Y334	VWA7
ENST00000375706	ENSP00000364858	197	Q5EG05	CARD16
ENST00000375707	ENSP00000364859	110	Q5XLA6	CARD17
ENST00000375708	ENSP00000364860	943	Q01974	ROR2
ENST00000375712	ENSP00000364864	747	O15066	KIF3B
ENST00000375719	ENSP00000364871	576	Q5T2T1	MPP7
ENST00000375722	ENSP00000364874	778	Q9Y5V3	MAGED1
ENST00000375731	ENSP00000364883	339	Q13825	AUH
ENST00000375732	ENSP00000364884	576	Q5T2T1	MPP7
ENST00000375734	ENSP00000364886	244	P61587	RND3
ENST00000375735	ENSP00000364887	4307	Q8NCM8	DYNC2H1
ENST00000375741	ENSP00000364893	803	Q14155	ARHGEF7
ENST00000375743	ENSP00000364895	803	Q13105	ZBTB17
ENST00000375746	ENSP00000364898	635	P43405	SYK
ENST00000375749	ENSP00000364902	388	Q9H488	POFUT1
ENST00000375750	ENSP00000364903	834	O43196	MSH5
ENST00000375754	ENSP00000364907	635	P43405	SYK
ENST00000375755	ENSP00000364908	834	O43196	MSH5
ENST00000375759	ENSP00000364912	3664	Q96T58	SPEN
ENST00000375765	ENSP00000364919	199	Q96HU8	DIRAS2
ENST00000375766	ENSP00000364921	373	Q8WUP2	FBLIM1
ENST00000375771	ENSP00000364926	373	Q8WUP2	FBLIM1
ENST00000375772	ENSP00000364927	778	Q9Y5V3	MAGED1
ENST00000375779	ENSP00000364934	241	O00299	CLIC1
ENST00000375780	ENSP00000364935	241	O00299	CLIC1
ENST00000375782	ENSP00000364938	343	A0PJX8	TMEM82
ENST00000375784	ENSP00000364940	241	O00299	CLIC1
ENST00000375787	ENSP00000364943	285	O95865	DDAH2
ENST00000375789	ENSP00000364945	285	O95865	DDAH2
ENST00000375790	ENSP00000364946	352	Q8IYA7	MKX
ENST00000375792	ENSP00000364949	285	O95865	DDAH2
ENST00000375799	ENSP00000364956	1019	Q8IWE5	PLEKHM2
ENST00000375807	ENSP00000364965	854	Q96T21	SECISBP2
ENST00000375819	ENSP00000364978	125	O95867	LY6G6C
ENST00000375820	ENSP00000364979	1669	P02462	COL4A1
ENST00000375825	ENSP00000364985	133	O95868	LY6G6D
ENST00000375826	ENSP00000364986	352	Q9BSE5	AGMAT
ENST00000375832	ENSP00000364992	297	Q5SQ64	LY6G6F
ENST00000375835	ENSP00000364995	594	Q92529	SHC3
ENST00000375845	ENSP00000365005	1328	Q56UN5	MAP3K19
ENST00000375846	ENSP00000365006	378	Q99500	S1PR3
ENST00000375847	ENSP00000365007	782	Q9Y2G8	DNAJC16
ENST00000375851	ENSP00000365011	202	Q6ZRZ4	C9orf47
ENST00000375854	ENSP00000365014	156	Q5VZ03	NXNL2
ENST00000375856	ENSP00000365016	1338	Q9Y4H2	IRS2
ENST00000375859	ENSP00000365019	262	Q9Y657	SPIN1
ENST00000375864	ENSP00000365024	201	Q8NDX9	LY6G5B
ENST00000375865	ENSP00000365025	215	P67870	CSNK2B
ENST00000375866	ENSP00000365026	215	P67870	CSNK2B
ENST00000375882	ENSP00000365042	215	P67870	CSNK2B
ENST00000375887	ENSP00000365048	285	Q9Y275	TNFSF13B
ENST00000375888	ENSP00000365049	534	Q5T8D3	ACBD5
ENST00000375893	ENSP00000365057	356	O95872	GPANK1
ENST00000375895	ENSP00000365059	356	O95872	GPANK1
ENST00000375896	ENSP00000365060	356	O95872	GPANK1
ENST00000375898	ENSP00000365063	337	Q7L211	ABHD13
ENST00000375900	ENSP00000365065	356	O95872	GPANK1
ENST00000375906	ENSP00000365071	356	O95872	GPANK1
ENST00000375910	ENSP00000365075	269	P08218	CELA2B
ENST00000375911	ENSP00000365076	294	O95873	C6orf47
ENST00000375915	ENSP00000365080	458	B1AL88	FAM155A
ENST00000375916	ENSP00000365081	188	O95445	APOM
ENST00000375936	ENSP00000365103	153	P59103	DAOA
ENST00000375938	ENSP00000365105	439	Q3SXZ7	TTLL9
ENST00000375940	ENSP00000365107	879	Q96GX5	MASTL
ENST00000375949	ENSP00000365116	268	Q99895	CTRC
ENST00000375963	ENSP00000365130	1495	Q5VYS8	TUT7
ENST00000375964	ENSP00000365131	1132	P46379	BAG6
ENST00000375978	ENSP00000365145	330	O43638	FOXS1
ENST00000375980	ENSP00000365147	240	Q96C19	EFHD2
ENST00000375985	ENSP00000365152	596	Q9H1R3	MYLK2
ENST00000375991	ENSP00000365159	129	Q9BUE6	ISCA1
ENST00000375992	ENSP00000365160	164	Q96G61	NUDT11
ENST00000375994	ENSP00000365162	596	Q9H1R3	MYLK2
ENST00000375998	ENSP00000365166	1412	B1AJZ9	FHAD1
ENST00000376001	ENSP00000365169	101	Q5TBE3	C9orf153
ENST00000376004	ENSP00000365172	502	Q6UW63	POGLUT2
ENST00000376006	ENSP00000365174	164	Q8NFP7	NUDT10
ENST00000376007	ENSP00000365175	2157	P48634	PRRC2A
ENST00000376008	ENSP00000365176	253	Q9NW97	TMEM51
ENST00000376014	ENSP00000365182	253	Q9NW97	TMEM51
ENST00000376020	ENSP00000365188	1493	Q9ULL8	SHROOM4
ENST00000376030	ENSP00000365198	775	Q674X7	KAZN
ENST00000376032	ENSP00000365200	227	Q5JUR7	TEX30
ENST00000376033	ENSP00000365201	2157	P48634	PRRC2A
ENST00000376042	ENSP00000365210	1395	Q8WWL7	CCNB3
ENST00000376059	ENSP00000365227	147	P55008	AIF1
ENST00000376062	ENSP00000365230	233	Q07817	BCL2L1
ENST00000376065	ENSP00000365233	1249	P29144	TPP2
ENST00000376075	ENSP00000365243	171	Q96KJ9	COX4I2
ENST00000376085	ENSP00000365253	294	Q5VT99	LRRC38
ENST00000376087	ENSP00000365255	1710	Q9UPS8	ANKRD26
ENST00000376088	ENSP00000365256	816	P51795	CLCN5
ENST00000376091	ENSP00000365259	816	P51795	CLCN5
ENST00000376098	ENSP00000365266	474	Q5VTA0	PRAMEF17
ENST00000376101	ENSP00000365269	479	Q5SWL8	PRAMEF19
ENST00000376112	ENSP00000365280	155	P41134	ID1
ENST00000376117	ENSP00000365285	244	Q06643	LTB
ENST00000376122	ENSP00000365290	233	P01375	TNF
ENST00000376141	ENSP00000365311	102	O60829	PAGE4
ENST00000376142	ENSP00000365312	508	Q8IZP0	ABI1
ENST00000376143	ENSP00000365313	247	Q92915	FGF14
ENST00000376150	ENSP00000365320	146	O75459	PAGE1
ENST00000376152	ENSP00000365322	478	Q5VWM5	PRAMEF9
ENST00000376180	ENSP00000365351	494	O95965	ITGBL1
ENST00000376189	ENSP00000365360	476	Q5VXH4	PRAMEF6
ENST00000376191	ENSP00000365362	119	P59942	MCCD1
ENST00000376207	ENSP00000365380	431	Q9BZS1	FOXP3
ENST00000376213	ENSP00000365386	822	Q16620	NTRK2
ENST00000376215	ENSP00000365388	415	Q5T2R2	PDSS1
ENST00000376217	ENSP00000365390	623	Q6W3E5	GDPD4
ENST00000376221	ENSP00000365395	407	Q5VUY2	AADACL4
ENST00000376227	ENSP00000365401	627	O60826	CCDC22
ENST00000376228	ENSP00000365402	366	P10321	HLA-C
ENST00000376230	ENSP00000469537	422	Q7Z398	ZNF550
ENST00000376233	ENSP00000365407	640	Q6P9A3	ZNF549
ENST00000376234	ENSP00000365408	741	Q5T4D3	TMTC4
ENST00000376236	ENSP00000365411	666	Q7Z5R6	APBB1IP
ENST00000376238	ENSP00000365413	691	Q9HAS3	SLC28A3
ENST00000376250	ENSP00000365426	153	Q9BVM4	GGACT
ENST00000376255	ENSP00000365431	345	Q9Y242	TCF19
ENST00000376257	ENSP00000365433	345	Q9Y242	TCF19
ENST00000376259	ENSP00000365435	461	P20333	TNFRSF1B
ENST00000376261	ENSP00000365437	585	Q05329	GAD2
ENST00000376265	ENSP00000365441	1977	O60840	CACNA1F
ENST00000376266	ENSP00000365442	782	Q8TD31	CCHCR1
ENST00000376267	ENSP00000365443	496	A6NGD5	ZSCAN5C
ENST00000376285	ENSP00000365462	728	P05165	PCCA
ENST00000376296	ENSP00000365473	566	Q5SSG8	MUC21
ENST00000376300	ENSP00000365477	631	Q567U6	CCDC93
ENST00000376309	ENSP00000365486	67	Q8N688	DEFB123
ENST00000376314	ENSP00000417128	76	Q5J5C9	DEFB121
ENST00000376316	ENSP00000365493	462	Q92759	GTF2H4
ENST00000376321	ENSP00000365499	84	Q8N690	DEFB119
ENST00000376325	ENSP00000365503	538	A6NL88	SHISA7
ENST00000376326	ENSP00000365504	462	Q92759	GTF2H4
ENST00000376327	ENSP00000365505	152	Q04941	PLP2
ENST00000376332	ENSP00000365510	429	Q6WN34	CHRDL2
ENST00000376335	ENSP00000365514	532	O95409	ZIC2
ENST00000376344	ENSP00000365522	341	Q5T6V5	C9orf64
ENST00000376350	ENSP00000365528	1115	Q9HD43	PTPRH
ENST00000376351	ENSP00000365529	1215	Q5T848	GPR158
ENST00000376352	ENSP00000365530	553	Q6ZWJ1	STXBP4
ENST00000376355	ENSP00000365533	340	Q8N0X4	CLYBL
ENST00000376356	ENSP00000365534	743	Q8IYQ7	THNSL1
ENST00000376371	ENSP00000365550	366	Q5VSY0	GKAP1
ENST00000376372	ENSP00000365551	360	Q9Y484	WDR45
ENST00000376387	ENSP00000365567	663	Q99805	TM9SF2
ENST00000376389	ENSP00000365569	427	O75955	FLOT1
ENST00000376395	ENSP00000365576	589	Q9UMX0	UBQLN1
ENST00000376406	ENSP00000365588	2089	Q14676	MDC1
ENST00000376414	ENSP00000365596	361	P32249	GPR183
ENST00000376419	ENSP00000365601	187	Q5T6J7	IDNK
ENST00000376421	ENSP00000365603	262	Q8IXM6	NRM
ENST00000376423	ENSP00000365606	841	Q4V328	GRIPAP1
ENST00000376436	ENSP00000365619	751	Q9Y3M9	ZNF337
ENST00000376442	ENSP00000365625	1041	O60231	DHX16
ENST00000376447	ENSP00000365630	740	Q8IZ41	RASEF
ENST00000376454	ENSP00000365637	1943	Q5T5P2	KIAA1217
